K_1	K_2	K_3	K_4	K_5	K_6	K_7	tot_K	S_1	S_2	S_3	S_4	S_5	S_6	S_7	prS_1	prS_2	prS_3	prS_4	prS_5	prS_6	prS_7	tot_S	D_1	D_2	D_3	D_4	D_5	D_6	D_7	Pi_1	Pi_2	Pi_3	Pi_4	Pi_5	Pi_6	Pi_7	
3	3	5	2	5	26	3	47	807	263	867	712	1029	1041	241	0	0	0	0	0	0	0	1041	0	0	0.105486	0	3.64979	5.67683	0	567.333	180.667	421.9	712	729.6	660.025	164.333	
3	3	26	2	5	3	5	47	9	12	1031	16	821	635	988	0	1	14	0	0	0	0	1032	0	0	2.29717	0	-0.612847	0	1.62671	6	8	425.372	16	362.5	437.667	575.1	
5	2	3	5	3	26	3	47	982	49	62	106	176	1041	59	0	0	0	0	0	38	0	1041	1.3994	0	0	-0.953337	0	2.4497	0	557.6	49	41.3333	44.5	120	439.898	39.6667	
26	5	3	3	3	5	2	47	1041	992	805	260	250	991	189	1	0	0	0	0	0	0	1041	5.26025	2.08567	0	0	0	1.96525	0	631.609	606	566.333	180.333	173.333	597.9	189	
5	5	2	3	26	3	3	47	793	747	798	974	1040	63	53	0	0	0	0	0	0	0	1041	1.98617	-0.926861	0	0	4.373	0	0	479.5	315.1	798	784.333	570.542	42.3333	36	
3	26	3	2	5	3	5	47	270	1041	970	240	982	285	995	0	0	0	0	0	0	0	1041	0	5.51412	0	0	1.83266	0	2.09636	185	648.926	777	240	584.3	196.333	608.5	
3	3	26	5	5	2	3	47	35	36	1040	806	1011	23	897	0	0	21	0	0	0	0	1041	0	0	3.89204	1.94745	3.08961	0	0	23.3333	24	537.766	485.4	681.3	23	687.667	
26	5	3	5	3	3	2	47	1039	985	86	968	69	937	44	1	0	1	0	0	0	0	1041	3.78158	1.38155	0	1.61585	0	0	0	529.729	558.2	57.3333	562.8	46.6667	717.333	44	
3	5	26	2	3	3	5	47	813	931	983	16	20	16	802	4	0	26	4	1	2	1	1016	0	1.17101	3.97084	0	0	0	-0.181968	591.333	515.3	513.403	16	13.3333	11	375.8	
2	3	3	5	3	5	26	47	209	319	337	1024	988	1000	1041	0	0	0	0	0	0	0	1041	0	0	0	3.27077	0	2.24046	6.06413	209	219	234.333	701.7	790.667	620.6	686.443	
26	5	5	2	3	3	3	47	1041	999	868	761	223	965	228	0	0	0	0	0	0	0	1041	5.72974	3.13563	2.08637	0	0	0	0	663.634	676.1	530.3	761	151.667	778.333	155.667	
5	2	5	26	3	3	3	47	999	165	854	1041	279	975	261	0	0	0	1	0	0	0	1041	3.05269	0	0.423139	5.85731	0	0	0	670.9	165	432.6	672.335	193	770.667	179.333	
3	5	3	2	3	26	5	47	847	1038	278	151	268	1041	1007	0	0	0	0	0	0	0	1041	0	4.33786	0	0	0	5.03867	2.14008	595.333	780.8	190.667	151	185.333	616.495	618.6	
3	5	5	3	2	26	3	47	338	1003	1002	318	249	1041	357	0	0	0	0	0	1	0	1041	0	2.40947	3.04133	0	0	6.1594	0	232.333	633.1	672.2	219	249	692.942	247.333	
3	3	5	26	2	3	5	47	211	214	1032	1041	120	815	1029	0	0	0	0	0	0	0	1041	0	0	3.66327	5.60623	0	0	3.61107	145.333	144.333	732.6	655.209	120	570.667	727.1	
5	3	3	5	26	3	2	47	1030	190	212	963	1040	332	100	0	0	0	0	6	0	0	1041	3.89873	0	0	2.66502	5.39791	0	0	746.4	128.667	145	623.3	640.385	228	100	
