K_1	K_2	K_3	K_4	K_5	K_6	K_7	tot_K	S_1	S_2	S_3	S_4	S_5	S_6	S_7	prS_1	prS_2	prS_3	prS_4	prS_5	prS_6	prS_7	tot_S	D_1	D_2	D_3	D_4	D_5	D_6	D_7	Pi_1	Pi_2	Pi_3	Pi_4	Pi_5	Pi_6	Pi_7	
26	3	5	3	5	2	3	11	47	1	1	0	2	1	1	47	1	1	0	2	1	1	53	4.9424	-0.816497	-1.16387	0	-1.42961	0	-0.816497	20.6408	0.4	0.117647	0	0.363636	1	0.4	
3	3	2	26	5	3	5	12	1	0	0	52	2	0	3	1	0	0	51	1	0	3	57	-0.816497	0	0	3.61714	-1.42961	0	-1.70573	0.4	0	0	19.4321	0.363636	0	0.352941	
5	5	3	26	3	3	2	12	0	0	0	17	3	1	0	0	0	0	17	3	1	0	21	0	0	0	-0.634408	0	-0.816497	0	0	0	0	2.16373	2	0.4	0	
3	26	5	3	5	3	2	13	0	26	2	1	0	1	0	0	26	2	1	0	1	0	30	0	0.904881	-1.50358	-0.816497	0	-0.816497	0	0	5.92195	0.235294	0.4	0	0.4	0	
3	5	2	26	3	5	3	6	0	0	0	7	1	0	0	0	0	0	7	1	0	0	8	0	0	0	-0.331681	-0.816497	0	0	0	0	0	0.933044	0.4	0	0	
3	3	5	26	5	3	2	9	0	0	1	6	1	0	0	0	0	1	6	1	0	0	8	0	0	-1.16387	-1.803	-1.16387	0	0	0	0	0.117647	0.0295567	0.117647	0	0	
26	5	3	3	5	3	2	3	1	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0.738284	0	0	0	-1.16387	0	0	0.276193	0	0	0	0.117647	0	0	
5	5	2	3	3	26	3	9	1	0	0	1	0	29	0	1	0	0	1	0	29	0	31	-1.16387	0	0	-0.816497	0	2.28392	0	0.117647	0	0	0.4	0	8.74556	0	
3	2	5	3	5	3	26	15	0	1	2	0	3	2	35	0	1	2	0	3	2	35	43	0	0	-1.50358	0	-1.35841	-0.972558	2.95845	0	1	0.235294	0	0.857143	0.8	12.1462	
26	3	3	5	5	2	3	12	41	3	2	1	0	0	0	41	3	2	1	0	0	0	47	0.697592	0	-0.972558	-1.16387	0	0	0	8.59522	2	0.8	0.117647	0	0	0	
26	3	3	5	3	2	5	36	174	3	59	98	2	0	61	68	3	5	4	2	0	9	197	-1.11044	0	0	-0.749524	0	0	-1.07488	30.0891	2	39.6667	42.4	1.33333	0	20.2857	
3	3	26	5	3	2	5	25	18	1	67	36	0	1	35	0	1	24	2	0	1	2	73	0	-0.816497	-0.442521	-0.382226	0	0	-0.535815	12	0.4	12.4151	16.4	0	1	15.6	
3	5	3	26	5	2	3	11	1	13	0	16	15	0	0	0	5	0	3	5	0	0	26	-0.816497	-0.463387	0	-1.60664	0.406174	0	0	0.4	4.85714	0	0.919655	7.6	0	0	
5	3	26	3	2	3	5	31	244	0	272	184	0	0	226	6	0	20	3	0	0	4	286	0.650318	0	1.25856	0	0	0	0.831367	127.1	0	78.0689	122.667	0	0	120.3	
2	5	3	5	3	26	3	31	0	158	68	148	0	187	3	0	10	1	11	0	28	3	212	0	0.5988	0	1.02508	0	0.588246	0	0	81.8	45.3333	80.6	0	46.4791	2	
5	3	3	5	26	3	2	3	0	1	0	0	1	0	0	0	1	0	0	1	0	0	2	0	-0.816497	0	0	-0.842598	0	0	0	0.4	0	0	0.00319489	0	0	
3	5	3	3	5	26	2	11	2	12	11	0	12	15	0	2	0	0	0	1	2	0	19	0	0.272249	0	0	-0.642418	1.45004	0	1.33333	5.14286	7.33333	0	3.49091	4.03032	0	
26	3	5	5	3	2	3	26	249	154	195	189	0	0	0	40	0	1	24	0	0	0	277	0.597262	0	0.839204	1.30954	0	0	0	65.3156	102.667	103.9	106.3	0	0	0	
5	5	26	2	3	3	3	32	133	175	200	1	13	3	1	4	4	18	1	0	2	1	213	-1.0542	0.508198	1.02758	0	0	0	-0.816497	55	89.6	58.8584	1	8.66667	2	0.4	
5	3	3	3	2	26	5	33	68	1	0	72	0	130	73	8	1	0	4	0	29	6	151	0.38522	-0.816497	0	0	0	-0.296091	-0.354764	34.3	0.4	0	49	0	27.1585	33.4	
3	5	3	26	2	3	5	34	22	6	5	68	0	1	26	7	3	4	31	0	1	1	84	0	-1.52412	0	-0.727081	0	-0.816497	0.788043	14.6667	1.71429	3.33333	13.1492	0	0.4	13.8	
5	26	3	2	3	3	5	33	49	72	0	0	9	0	50	1	27	0	0	5	0	2	90	0.153962	-0.238333	0	0	0	0	0.125772	24	16.4777	0	0	6	0	24.4	
2	3	26	3	3	5	5	7	0	0	9	7	0	7	10	0	0	1	0	0	0	4	13	0	0	2.32549	0	0	-1.89693	-0.35772	0	0	3.1068	4.66667	0	1.27273	3.80952	
2	26	5	3	5	3	3	14	0	34	7	0	25	0	19	0	6	2	0	0	0	0	36	0	1.17334	-1.55311	0	-0.166276	0	0	0	9.01102	2	0	9.90476	0	12.6667	
3	2	3	5	5	26	3	30	2	0	61	82	23	117	0	2	0	1	4	0	34	0	127	0	0	0	-1.09115	-0.430446	1.10609	0	1.33333	0	40.6667	33.7	10.4	36.5794	0	
26	2	3	3	5	5	3	31	117	0	2	37	67	48	0	31	0	2	0	4	5	0	128	0.326794	0	0	0	1.28105	-1.25699	0	28.0475	0	1.33333	24.6667	37.6	19.2	0	
5	26	5	3	2	3	3	8	2	7	1	2	0	0	0	1	6	0	1	0	0	0	9	-1.50358	-1.42684	0.950509	0	0	0	0	0.235294	0.339246	0.461538	1.33333	0	0	0	
3	2	5	3	26	5	3	24	1	0	13	25	52	22	1	1	0	1	2	14	7	1	64	-0.816497	0	-0.744854	0	-1.3471	0.222136	-0.816497	0.4	0	5.6	16.6667	6.57738	9.33333	0.4	
3	2	26	5	3	3	5	34	24	0	105	72	2	0	72	1	0	22	9	2	0	4	121	0	0	-0.698064	1.03946	0	0	-0.627183	16	0	19.482	39.3	1.33333	0	31.7	
2	3	3	5	5	3	26	34	0	2	3	51	51	49	80	0	2	3	4	2	0	21	92	0	0	0	-1.25806	1.48624	0	0.971248	0	1.33333	2	20.4	29.3	32.6667	24.3683	
2	5	3	3	5	26	3	20	0	26	24	23	22	43	0	0	0	0	2	0	15	0	48	0	-1.55024	0	-1.23753	1.29205	-1.53164	0	0	7.71429	16	9.2	12.4	4.4245	0	
3	3	2	5	26	3	5	24	0	0	0	65	90	8	18	0	0	0	3	12	2	0	95	0	0	0	-1.11621	-1.68086	0	-0.886543	0	0	0	26.6	10.56	5.33333	7.6	
2	3	26	3	3	5	5	30	0	0	218	19	167	180	30	0	0	30	4	1	9	2	234	0	0	-1.57991	0	0	-0.855917	-0.824112	0	0	28.142	12.6667	111.333	76.7	10.4762	
3	3	5	5	3	2	26	15	1	0	7	10	2	4	21	0	0	2	1	1	0	9	25	-0.816497	0	-1.89693	-1.60974	0	0	-1.53235	0.4	0	1.27273	2.85714	1.33333	4	1.76637	
5	3	5	26	3	3	2	31	116	53	66	158	1	28	25	1	2	1	17	1	4	3	171	-1.30755	-1.25872	-0.592763	-0.935421	-0.816497	-1.2441	0	36.7619	21.2	29.2	27.374	0.4	11.2	25	
5	26	3	3	3	5	2	19	27	51	26	0	0	27	25	2	26	0	0	0	2	1	59	-1.01279	0.654167	0	0	0	-1.4598	0	11.2	12.6076	17.3333	0	0	8.19048	25	
5	2	3	5	3	26	3	12	20	2	0	20	1	11	0	0	0	0	1	0	6	0	29	-1.2321	0	0	-1.07808	-0.816497	-1.64274	0	8	2	0	8.2	0.4	0.578431	0	
3	2	3	26	5	3	5	24	12	2	1	82	59	1	66	2	0	1	19	1	1	4	92	0	0	-0.816497	1.80786	-1.41868	-0.816497	-1.517	8	2	0.4	27.1201	18.1905	0.4	19.9048	
26	5	3	3	3	2	5	33	209	123	16	111	1	3	30	86	12	0	0	0	2	15	240	1.46193	1.6189	-1.22187	0	-0.816497	0	0.415378	69.1778	71.6	6.4	74.6667	0.4	3	15.2	
3	5	2	3	26	3	5	31	27	100	0	109	209	0	101	1	1	0	0	60	0	7	219	-1.24297	-0.474983	0	0	-0.0753134	0	-0.529886	10.8	45	0	74	49.3937	0	45.1	
5	26	2	3	3	5	3	30	55	90	0	4	43	48	0	5	33	0	0	1	3	0	99	1.05898	0.14885	0	-1.0938	0	-0.831443	0	30.1	22.0218	0	1.6	28.6667	20.5	0	
5	2	5	3	3	26	3	29	64	0	58	8	43	110	2	11	0	3	1	1	51	2	128	0.118274	0	-0.608351	-1.17432	0	0.133436	0	31.2	0	25.6	3.2	28.6667	25.7092	1.33333	
3	2	5	3	3	5	26	32	67	2	185	3	0	88	238	1	2	2	0	0	4	20	247	0	0	-1.21645	-1.04849	0	0.352298	-0.810214	44.6667	2	59.8571	1.2	0	44.2	42.6554	
5	26	3	2	5	3	3	22	29	62	0	0	33	0	35	1	12	0	0	1	0	1	65	2.39753	1.00469	0	0	0.927095	0	0	15.7778	16.8165	0	0	17.8	0	23.3333	
2	26	3	3	5	5	3	20	0	72	48	6	23	23	5	0	5	0	1	0	4	0	77	0	-0.926616	0	0	0.242126	0.780184	-1.12397	0	11.8351	32.3333	4	11.4	12.2	2	
2	3	5	3	5	3	26	31	0	4	64	12	17	3	95	0	0	3	3	4	2	27	107	0	-1.0938	-0.275973	0	-0.294781	0	-1.32705	0	1.6	29.6	8	6.57143	2	13.8076	
2	5	3	5	3	26	3	34	1	64	31	75	2	115	52	1	1	10	2	2	17	2	135	0	-0.719501	0	-0.126363	0	0.959271	0	1	27.8	20.6667	35.4	1.33333	33.1256	34.6667	
26	3	2	3	5	5	3	19	41	13	0	0	20	19	0	12	0	0	0	3	1	0	45	-0.123986	0	0	0	-0.341548	0.383194	0	8.00033	8.66667	0	0	7.66667	8.28571	0	
3	3	5	5	26	2	3	13	30	28	5	34	39	1	1	0	0	0	1	6	1	1	42	0	-1.2441	2.15996	0.863631	1.49442	0	-0.816497	20	11.2	2.77778	18.2	10.7002	1	0.4	
2	5	5	3	3	3	26	25	51	11	67	1	55	0	76	2	5	6	1	1	0	10	91	0	-0.704751	0.904272	-0.816497	0	0	-1.29049	51	3.90476	36	0.4	36.6667	0	8.60328	
3	26	5	3	3	2	5	12	9	18	0	1	0	0	0	0	9	0	1	0	0	0	19	-1.18441	-1.23308	0	-0.816497	0	0	0	3.6	1.68461	0	0.4	0	0	0	
26	2	5	3	5	3	3	13	81	1	1	2	1	0	1	81	1	1	2	1	0	1	87	-2.74856	0	-1.16387	-0.972558	-1.16387	0	-0.816497	1.172	1	0.117647	0.8	0.117647	0	0.4	
